('WK00000134', 'K3S0000967', 'GMB KAPUAS III', 'PT GAS METHAN UTAMA', 'EKSPLORASI', 'PSC', '2011-04-01', '2031-03-31', 'AKTIF'),
('WK00000147', 'K3S0000447', 'GMB MUARA ENIM II', 'INDO CBM SUMBAGSEL 2 PTE. LTD.', 'EKSPLORASI', 'PSC', '2011-04-01', '2031-03-31', 'AKTIF'),
('WK00000153', 'K3S0000449', 'GMB RENGAT', 'INDON CBM LTD.', 'EKSPLORASI', 'PSC', '2009-11-30', '2039-11-29', 'AKTIF'),
('WK00000159', 'K3S0000985', 'GMB SIJUNJUNG', 'PT INTI GAS ENERGI', 'EKSPLORASI', 'PSC', '2011-04-01', '2031-03-31', 'AKTIF'),
('WK00000175', 'K3S0000855', 'JABUNG', 'PETROCHINA INTERNATIONAL JABUNG LTD.', 'EKSPLOITASI', 'PSC', '1993-02-27', '2043-02-26', 'AKTIF'),
('WK00000486', 'K3S0001053', 'JAMBI MERANG', 'PT PERTAMINA HULU ENERGI JAMBI MERANG', 'EKSPLOITASI', 'GS', '2019-02-10', '2039-02-09', 'AKTIF'),
('WK00000189', 'K3S0000510', 'KANGEAN', 'KANGEAN ENERGY INDONESIA LTD.', 'EKSPLOITASI', 'PSC', '1980-11-14', '2030-11-13', 'AKTIF'),
('WK00000198', 'K3S0000376', 'KASURI', 'GENTING OIL KASURI PTE. LTD.', 'EKSPLOITASI', 'PSC', '2008-05-27', '2038-05-26', 'AKTIF'),
('WK00000217', 'K3S0000975', 'LAMPUNG III', 'PT HARPINDO MITRA KHARISMA', 'EKSPLORASI', 'GS', '2009-05-05', '2039-05-04', 'AKTIF'),
('WK00000221', 'K3S0001628', 'LEMANG', 'JADESTONE ENERGY (LEMANG) PTE. LTD.', 'EKSPLOITASI', 'PSC', '2007-01-18', '2037-01-17', 'AKTIF'),
('WK00000222', 'K3S0001008', 'LEMATANG', 'PT MEDCO E&P LEMATANG', 'EKSPLOITASI', 'PSC', '1987-04-06', '2027-04-05', 'AKTIF'),
('WK00000228', 'K3S0001749', 'MADURA OFFSHORE', 'MEDCO ENERGI MADURA OFFSHORE PTY. LTD.', 'EKSPLOITASI', 'PSC', '1997-12-04', '2027-12-03', 'AKTIF'),
('WK00000487', 'K3S0001533', 'MARATUA', 'PT PERTAMINA HULU ENERGI LEPAS PANTAI BUNYU', 'EKSPLORASI', 'GS', '2019-02-28', '2049-02-27', 'AKTIF'),
